Calne Chilvester & Abberd	WD21CD/E05013412
Adlington & Anderton	WD21CD/E05013064
Admaston & Bratton	WD21CD/E05009966
Admirals and Cawston	WD21CD/E05010758
Adur	LAD23CD/E07000223
Adwick le Street & Carcroft	WD21CD/E05010728
Aethwy	WD21CD/W05000981
Aggborough & Spennells	WD21CD/E05010502
Aghadowey	WD21CD/N08000401
Aghagallon	WD21CD/N08000201
Ahoghill	WD21CD/N08000802
Ainsdale	WD21CD/E05000932
Aird and Loch Ness	WD21CD/S13003001
Airdrie and Shotts	PCON17CD/S14000003
Airdrie Central	WD21CD/S13003050
Airdrie North	WD21CD/S13003049
Airdrie South	WD21CD/S13003053
Aire Valley with Lothersdale	WD21CD/E05010774
Airedale and Ferry Fryston	WD21CD/E05001445
Airfield	WD21CD/E05012321
Snaith, Airmyn, Rawcliffe and Marshland	WD21CD/E05001706
Airyhall/Broomhill/Garthdee	WD21CD/S13002845
Albrighton	WD21CD/E05008137
Alcester & Rural	WD21CD/E05010179
Alcester Town	WD21CD/E05010178
Alcombe	WD21CD/E05012806
Alconbury	WD21CD/E05011256
Aldborough	WD21CD/E05011234
Aldbourne & Ramsbury	WD21CD/E05013398
Aldbury and Wigginton	WD21CD/E05004693
Aldeburgh & Leiston	WD21CD/E05012734
Aldenham East	WD21CD/E05012177
Aldenham West	WD21CD/E05012178
Alderbury & Whiteparish	WD21CD/E05013399
Aldergrove	WD21CD/N08000102
Cranborne & Alderholt	WD21CD/E05012693
Alderley Edge	WD21CD/E05008610
Aldermaston	WD21CD/E05012132
Alderney & Bourne Valley	WD21CD/E05012649
Aldersgate	WD21CD/E05009288
Aldershot	PCON17CD/E14000530
Aldershot Park	WD21CD/E05008989
Aldgate	WD21CD/E05009289
Aldridge Central and South	WD21CD/E05001301
Aldridge North and Walsall Wood	WD21CD/E05001302
Aldridge-Brownhills	PCON17CD/E14000531
Aldwick East	WD21CD/E05009800
Aldwick West	WD21CD/E05009801
Alexandra	WD21CD/E05000266
Alexandra	WD21CD/E05000400
Alexandra	WD21CD/E05000719
Alexandra	WD21CD/E05007117
Alfold, Cranleigh Rural and Ellens Green	WD21CD/E05007411
Alford	WD21CD/E05009873
Alfreton	WD21CD/E05003280
Alfrick and Leigh	WD21CD/E05007846
Alibon	WD21CD/E05000027
Alkham & Capel-le-Ferne	WD21CD/E05012855
All Saints	WD21CD/E05004288
All Saints & Wayland	WD21CD/E05010237
Summerfield & All Saints	WD21CD/E05010671
All Saints	WD21CD/E05011720
Stour & Allen Vale	WD21CD/E05012720
Allens Cross	WD21CD/E05011119
Allerton and Hunts Cross	WD21CD/E05000886
Allestree	WD21CD/E05001768
Allhallow & Waverton	WD21CD/E05011721
Allington	WD21CD/E05004982
Allington & Strete	WD21CD/E05010128
Allt-wen	WD21CD/W05000553
Allt-yr-yn	WD21CD/W05000833
Almond	WD21CD/S13002919
Almond and Earn	WD21CD/S13003071
Almondbury	WD21CD/E05008558
Alnwick	WD21CD/E05009093
Alperton	WD21CD/E05000085
Alphington	WD21CD/E05011011
Alport	WD21CD/E05003281
Alresford & Elmstead	WD21CD/E05011932
Alresford and Itchen Valley	WD21CD/E05010995
Alrewas & Fradley	WD21CD/E05010651
Alsager	WD21CD/E05008611
Alston & Hothersall	WD21CD/E05012000
Alston Moor	WD21CD/E05003205
Altahullion	WD21CD/N08000402
Altarnun & Stoke Climsland	WD21CD/E05013837
Altham	WD21CD/E05005206
Althorne	WD21CD/E05004190
Altofts and Whitwood	WD21CD/E05001446
Alton	WD21CD/E05007039
Alton Amery	WD21CD/E05012290
Alton Ashdell	WD21CD/E05012291
Alton Eastbrooke	WD21CD/E05012292
Alton Holybourne	WD21CD/E05012293
Alton Westbrooke	WD21CD/E05012294
Alton Whitedown	WD21CD/E05012295
Alton Wooteys	WD21CD/E05012296
Altrincham	WD21CD/E05000819
Altrincham and Sale West	PCON17CD/E14000532
Alum Rock	WD21CD/E05011120
Alvaston	WD21CD/E05001769
Alvechurch South	WD21CD/E05009823
Alvechurch Village	WD21CD/E05009824
Alveley and Claverley	WD21CD/E05008138
Alverstoke	WD21CD/E05004531
Alvescot and Filkins	WD21CD/E05006627
Alway	WD21CD/W05000834
Alwoodley	WD21CD/E05012842
Alyn and Deeside	PCON17CD/W07000043
Amber Valley	LAD23CD/E07000032
Amber Valley	PCON17CD/E14000533
Pulborough, Coldwaltham & Amberley	WD21CD/E05011824
Amberley and Woodchester	WD21CD/E05013187
Ambien	WD21CD/E05005479
Amble	WD21CD/E05009094
Amble West with Warkworth	WD21CD/E05009095
Amblecote	WD21CD/E05001236
Ambleside & Grasmere	WD21CD/E05011490
Ambrook	WD21CD/E05011892
Amersham and Chesham Bois	WD21CD/E05013121
Amesbury East & Bulford	WD21CD/E05013400
Amesbury South	WD21CD/E05013401
Amesbury West	WD21CD/E05013402
Amington	WD21CD/E05007066
Ammanford	WD21CD/W05000458
Ammerdown	WD21CD/E05006760
Amotherby	WD21CD/E05006297
Ampfield & Braishfield	WD21CD/E05012927
Ampleforth	WD21CD/E05006298
Ampthill	WD21CD/E05012843
Amroth	WD21CD/W05000946
An Taobh Siar agus Nis	WD21CD/S13002608
Anchorsholme	WD21CD/E05001643
Ancoats & Beswick	WD21CD/E05011350
Andersonstown	WD21CD/N08000301
Anderston/City/Yorkhill	WD21CD/S13002976
Adlington & Anderton	WD21CD/E05013064
Andover Downlands	WD21CD/E05012085
Andover Harroway	WD21CD/E05012928
Andover Millway	WD21CD/E05012929
Andover Romans	WD21CD/E05012088
Andover St Mary's	WD21CD/E05012930
Andover Winton	WD21CD/E05012931
Anfield	WD21CD/E05000887
Anglesey	WD21CD/E05004532
Anglesey	WD21CD/E05006918
Angmering & Findon	WD21CD/E05009802
Angus	LAD23CD/S12000041
Angus	PCON17CD/S14000004
Anna	WD21CD/E05012932
Annalong	WD21CD/N08001002
Annandale East and Eskdale	WD21CD/S13002891
Annandale North	WD21CD/S13002890
Annandale South	WD21CD/S13002889
Annesley & Kirkby Woodhouse	WD21CD/E05010674
Annfield Plain	WD21CD/E05009030
Annick	WD21CD/S13002892
Ansdell	WD21CD/E05005185
Anstey	WD21CD/E05005426
Anston & Woodsetts	WD21CD/E05012993
Antrim and Newtownabbey	LAD23CD/N09000001
Antrim Centre	WD21CD/N08000103
Apley Castle	WD21CD/E05009967
Appleby	WD21CD/E05010090
Appleby (Appleby)	WD21CD/E05003206
Appleby (Bongate)	WD21CD/E05003207
Appledore	WD21CD/E05011916
Appleton	WD21CD/E05004082
Appleton	WD21CD/E05011024
Appleton	WD21CD/E05013169
Appleton Roebuck & Church Fenton	WD21CD/E05010044
Appleton Wiske & Smeatons	WD21CD/E05009672
Apsley and Corner Hall	WD21CD/E05004694
Dawley & Aqueduct	WD21CD/E05009972
Arboretum	WD21CD/E05001770
Arboretum	WD21CD/E05007880
Hyson Green & Arboretum	WD21CD/E05012281
Arborfield	WD21CD/E05002372
Arbroath East and Lunan	WD21CD/S13002873
Arbroath West, Letham and Friockheim	WD21CD/S13002872
Arbury	WD21CD/E05004761
Arbury	WD21CD/E05007475
Arbury	WD21CD/E05013051
Ardboe	WD21CD/N08000901
Ardeevin	WD21CD/N08000803
Market Harborough-Great Bowden & Arden	WD21CD/E05011975
Kenilworth Abbey & Arden	WD21CD/E05012618
Ardingly and Balcombe	WD21CD/E05007668
Ardleigh & Little Bromley	WD21CD/E05011933
Ardoyne	WD21CD/N08000302
Ardrossan and Arran	WD21CD/S13003036
Ards and North Down	LAD23CD/N09000011
Ardsley & Robin Hood	WD21CD/E05011384
Ardwick	WD21CD/E05011351
Areley Kings & Riverside	WD21CD/E05010503
Arfon	PCON17CD/W07000057
Argoed	WD21CD/W05000180
Argoed	WD21CD/W05000721
Argyll and Bute	LAD23CD/S12000035
Argyll and Bute	PCON17CD/S14000005
Lower Swaledale & Arkengarthdale	WD21CD/E05012363
Arlecdon & Ennerdale	WD21CD/E05012548
Arlesey	WD21CD/E05008779
Arleston	WD21CD/E05009968
Wribbenhall & Arley	WD21CD/E05010512
Arley and Whitacre	WD21CD/E05007457
Arlington	WD21CD/E05011625
Arllechwedd	WD21CD/W05000046
Armadale and Blackridge	WD21CD/S13002828
Armagh City, Banbridge and Craigavon	LAD23CD/N09000002
Armitage with Handsacre	WD21CD/E05010652
Armley	WD21CD/E05011385
Armthorpe	WD21CD/E05010729
Arnside & Milnthorpe	WD21CD/E05011491
Arrow	WD21CD/E05009438
Arthur's Hill	WD21CD/E05011436
Artigarvan	WD21CD/N08000501
Arun	LAD23CD/E07000224
Arundel & Walberton	WD21CD/E05009803
Arundel and South Downs	PCON17CD/E14000534
Ascot	WD21CD/E05002271
Ascot & Sunninghill	WD21CD/E05012494
Ascott and Shipton	WD21CD/E05006628
Asfordby	WD21CD/E05005495
Ash and New Ash Green	WD21CD/E05009956
Ash South and Tongham	WD21CD/E05007286
Ash Vale	WD21CD/E05007287
Ash Wharf	WD21CD/E05007288
Ashbourne North	WD21CD/E05003342
Ashbourne South	WD21CD/E05003343
Ashbrow	WD21CD/E05001389
Ashburton & Buckfastleigh	WD21CD/E05011893
Ashby	WD21CD/E05001728
Ashby Castle	WD21CD/E05010091
Ashby de la Launde and Cranwell	WD21CD/E05005618
Ashby Holywell	WD21CD/E05010092
Ashby Ivanhoe	WD21CD/E05010093
Ashby Money Hill	WD21CD/E05010094
Ashby Willesley	WD21CD/E05010095
Ashby Woulds	WD21CD/E05010096
Ashdon	WD21CD/E05009910
Ashdown	WD21CD/E05011201
Newchurch, Havenstreet & Ashey	WD21CD/E05013379
Ashfield	LAD23CD/E07000170
Ashfield	PCON17CD/E14000535
Ashfields	WD21CD/E05010675
Ashford	LAD23CD/E07000105
Ashford	PCON17CD/E14000536
Ashford Common	WD21CD/E05007362
Ashford East	WD21CD/E05007363
Ashford North and Stanwell South	WD21CD/E05007364
Ashford Town	WD21CD/E05007365
Ashill	WD21CD/E05010238
West Chiltington, Thakeham & Ashington	WD21CD/E05011833
Ashington Central	WD21CD/E05009096
Ashley	WD21CD/E05004785
Ashley	WD21CD/E05010885
Ashover	WD21CD/E05012040
Ashridge	WD21CD/E05004695
Little Stour & Ashstone	WD21CD/E05012861
Ashtead Common	WD21CD/E05007308
Ashtead Park	WD21CD/E05007309
Ashtead Village	WD21CD/E05007310
Ashton	WD21CD/E05000841
Ashton	WD21CD/E05005186
Ashton	WD21CD/E05012193
Ashton Hurst	WD21CD/E05000800
Ashton St Michael's	WD21CD/E05000801
Ashton upon Mersey	WD21CD/E05000820
Ashton Waterloo	WD21CD/E05000802
Ashton-under-Lyne	PCON17CD/E14000537
Ashurst, Copythorne South and Netley Marsh	WD21CD/E05004580
Ashurst	WD21CD/E05005357
Steyning & Ashurst	WD21CD/E05011830
Ashurst Wood	WD21CD/E05007669
Ashwick, Chilcompton and Stratton	WD21CD/E05006761
Norton & Askern	WD21CD/E05010740
Askew	WD21CD/E05000251
Askham	WD21CD/E05003208
Aspatria	WD21CD/E05011722
Aspley	WD21CD/E05012270
Aspley and Woburn	WD21CD/E05008780
Aspull New Springs Whelley	WD21CD/E05000842
Assington	WD21CD/E05012565
Chorley North & Astley	WD21CD/E05013069
Astley Bridge	WD21CD/E05000650
Astley Mosley Common	WD21CD/E05000843
Datchworth & Aston	WD21CD/E05004723
Aston	WD21CD/E05008809
Aston	WD21CD/E05011121
Aston & Todwick	WD21CD/E05012994
Aston	WD21CD/W05000181
Standlake, Aston and Stanton Harcourt	WD21CD/E05006645
Aston Clinton and Bierton	WD21CD/E05013122
Aston Fields	WD21CD/E05009825
Astwood Bank and Feckenham	WD21CD/E05007869
Atherleigh	WD21CD/E05000844
Atherstone Central	WD21CD/E05007458
Atherstone North	WD21CD/E05007459
Atherstone South and Mancetter	WD21CD/E05007460
Atherton	WD21CD/E05000845
Atlantic	WD21CD/N08000403
Attenborough & Chilwell East	WD21CD/E05010514
Attleborough	WD21CD/E05007476
Attleborough Burgh & Haverscroft	WD21CD/E05010240
Attleborough Queens & Besthorpe	WD21CD/E05010241
Audenshaw	WD21CD/E05000803
Audlem	WD21CD/E05008612
Audley	WD21CD/E05011415
Audley & Queen's Park	WD21CD/E05011508
Augher and Clogher	WD21CD/N08000902
Aughnacloy	WD21CD/N08000903
Aughton & Swallownest	WD21CD/E05012995
Aughton and Downholland	WD21CD/E05005358
Aughton Park	WD21CD/E05005359
Ault Hucknall	WD21CD/E05011983
Auriol	WD21CD/E05007273
Aveland	WD21CD/E05010148
Aveley and Uplands	WD21CD/E05002229
Avenue	WD21CD/E05010180
Avenue	WD21CD/E05011525
Loddiswell & Aveton Gifford	WD21CD/E05010138
Avon Valley	WD21CD/E05013403
Avoncroft	WD21CD/E05009826
Avondale and Stonehouse	WD21CD/S13003099
Avonmore and Brook Green	WD21CD/E05000252
Avonmouth and Lawrence Weston	WD21CD/E05010886
Awsworth, Cossall & Trowell	WD21CD/E05010515
Awsworth Road	WD21CD/E05010604
Axevale	WD21CD/E05008893
Axholme Central	WD21CD/E05001729
Axholme North	WD21CD/E05001730
Axholme South	WD21CD/E05001731
Axminster	WD21CD/E05011782
Aycliffe East	WD21CD/E05009031
Aycliffe North and Middridge	WD21CD/E05009032
Aycliffe West	WD21CD/E05009033
Lydney West & Aylburton	WD21CD/E05012167
West Hill & Aylesbeare	WD21CD/E05011808
Aylesbury	PCON17CD/E14000538
Aylesbury East	WD21CD/E05013123
Aylesbury North	WD21CD/E05013124
Aylesbury North West	WD21CD/E05013125
Aylesbury South East	WD21CD/E05013126
Aylesbury South West	WD21CD/E05013127
Aylesbury West	WD21CD/E05013128
Aylesford & East Stour	WD21CD/E05011743
Aylesford North and Walderslade	WD21CD/E05009568
Aylesford South	WD21CD/E05009569
Aylesham, Eythorne & Shepherdswell	WD21CD/E05012856
Aylestone	WD21CD/E05010459
Aylestone Hill	WD21CD/E05009439
Aylsham	WD21CD/E05005758
Ayr, Carrick and Cumnock	PCON17CD/S14000006
Ayr East	WD21CD/S13003090
Ayr North	WD21CD/S13003089
Ayr West	WD21CD/S13003091
Ayresome	WD21CD/E05009854
Babergh	LAD23CD/E07000200
Bablake	WD21CD/E05001218
Backbury	WD21CD/E05009440
Backwell	WD21CD/E05010276
Bacton	WD21CD/E05011834
Bacton	WD21CD/E05012589
Baddeley, Milton and Norton	WD21CD/E05008715
Baddesley and Grendon	WD21CD/E05007461
Inverness, Nairn, Badenoch and Strathspey	PCON17CD/S14000039
Badenoch and Strathspey	WD21CD/S13003009
Badger Farm and Oliver's Battery	WD21CD/E05010996
Badgeworth	WD21CD/E05012064
Badminton	WD21CD/W05000936
Badsey	WD21CD/E05007895
Baffins	WD21CD/E05002441
Bagby & Thorntons	WD21CD/E05009673
Bagillt East	WD21CD/W05000182
Bagillt West	WD21CD/W05000183
Baglan	WD21CD/W05001027
Bagley	WD21CD/E05008139
Bagnall and Stanley	WD21CD/E05007040
Bagots	WD21CD/E05006919
Bagshot	WD21CD/E05012026
Baguley	WD21CD/E05011352
Ratby, Bagworth and Thornton	WD21CD/E05005493
Baildon	WD21CD/E05001341
Baillieston	WD21CD/S13002986
Baird	WD21CD/E05011202
Bakewell	WD21CD/E05003344
Bala	WD21CD/W05000047
Hexthorpe & Balby North	WD21CD/E05010738
Balby South	WD21CD/E05010730
Balderstone and Kirkholt	WD21CD/E05000739
Balderton North & Coddington	WD21CD/E05011552
Balderton South	WD21CD/E05010064
Baldock East	WD21CD/E05004762
Baldock Town	WD21CD/E05004763
Baldwin	WD21CD/E05007847
Balham	WD21CD/E05000610
Ballee and Harryville	WD21CD/N08000804
Ballinamallard	WD21CD/N08000601
Ballinderry	WD21CD/N08000701
Ballochmyle	WD21CD/S13002898
Ballybay	WD21CD/N08000202
Ballybot	WD21CD/N08001003
Ballycarry and Glynn	WD21CD/N08000805
Ballycastle	WD21CD/N08000404
Ballyclare East	WD21CD/N08000104
Ballyclare West	WD21CD/N08000105
Ballycolman	WD21CD/N08000502
Ballycrochan	WD21CD/N08001101
Ballyduff	WD21CD/N08000106
Ballydugan	WD21CD/N08001004
Ballygawley	WD21CD/N08000904
Ballygomartin	WD21CD/N08000303
Ballygowan	WD21CD/N08001102
Ballygrainey	WD21CD/N08001103
Ballyhanwood	WD21CD/N08000702
Ballyhenry	WD21CD/N08000107
Ballyholme	WD21CD/N08001104
Ballykeel	WD21CD/N08000806
Ballykelly	WD21CD/N08000405
Ballymacarrett	WD21CD/N08000304
Ballymacash	WD21CD/N08000703
Ballymacbrennan	WD21CD/N08000704
Ballymacoss	WD21CD/N08000705
Ballymagee	WD21CD/N08001105
Ballymagroarty	WD21CD/N08000503
Ballymaguigan	WD21CD/N08000905
Ballymoney East	WD21CD/N08000406
Ballymoney North	WD21CD/N08000407
Ballymoney South	WD21CD/N08000408
Ballymurphy	WD21CD/N08000305
Ballynahinch	WD21CD/N08001005
Ballynure	WD21CD/N08000108
Ballyrobert	WD21CD/N08000109
Ballysaggart	WD21CD/N08000906
Ballysillan	WD21CD/N08000306
Ballywalter	WD21CD/N08001106
Ballyward	WD21CD/N08001006
Sparkbrook & Balsall Heath East	WD21CD/E05011170
Balsall Heath West	WD21CD/E05011122
Balsham	WD21CD/E05011282
Bamber Bridge East	WD21CD/E05010214
Bamber Bridge West	WD21CD/E05010215
Bamburgh	WD21CD/E05009097
Bamford	WD21CD/E05000740
Bampton and Clanfield	WD21CD/E05006629
Armagh City, Banbridge and Craigavon	LAD23CD/N09000002
Banbridge East	WD21CD/N08000203
Banbridge North	WD21CD/N08000204
Banbridge South	WD21CD/N08000205
Banbridge West	WD21CD/N08000206
Banbury	PCON17CD/E14000539
Banbury Calthorpe and Easington	WD21CD/E05011349
Banbury Cross and Neithrop	WD21CD/E05010921
Banbury Grimsbury and Hightown	WD21CD/E05010922
Banbury Hardwick	WD21CD/E05010923
Banbury Ruscote	WD21CD/E05010924
Banchory and Mid Deeside	WD21CD/S13002863
Bandley Hill	WD21CD/E05004805
Banff and Buchan	PCON17CD/S14000007
Banff and District	WD21CD/S13002848
Spitalfields & Banglatown	WD21CD/E05009333
The Buckenhams & Banham	WD21CD/E05010257
Bank Hall	WD21CD/E05005150
Bank Top & Lascelles	WD21CD/E05010412
Bankfield	WD21CD/E05013170
Borough & Bankside	WD21CD/E05011095
Bannockburn	WD21CD/S13003121
Banstead Village	WD21CD/E05012872
Banwell & Winscombe	WD21CD/E05010277
Banwy	WD21CD/W05000285
Bar Hill	WD21CD/E05011283
Bar Pool	WD21CD/E05007477
Chailey, Barcombe & Hamsey	WD21CD/E05011583
Barden Fell	WD21CD/E05010775
Bardney	WD21CD/E05009636
Bardon	WD21CD/E05010097
Bardwell	WD21CD/E05012764
Bare	WD21CD/E05009592
Bargate	WD21CD/E05002455
Bargoed	WD21CD/W05000722
Claydon & Barham	WD21CD/E05012594
Barkham	WD21CD/E05002373
Barking	PCON17CD/E14000540
Barking and Dagenham	LAD23CD/E09000002
Barkingside	WD21CD/E05011235
Barlaston	WD21CD/E05010479
Barlborough	WD21CD/E05011984
Barlby Village	WD21CD/E05010045
Barlestone, Nailstone and Osbaston	WD21CD/E05005480
Barleythorpe	WD21CD/E05012632
Barlow & Holmesfield	WD21CD/E05012041
Barming and Teston	WD21CD/E05004983
Barms	WD21CD/E05010623
Barnack	WD21CD/E05010805
Barnard Castle East	WD21CD/E05009034
Barnard Castle West	WD21CD/E05009035
Stainforth & Barnby Dun	WD21CD/E05010744
Barncroft	WD21CD/E05004566
Barnehurst	WD21CD/E05011217
Barnes	WD21CD/E05000516
Barnes	WD21CD/E05001153
Barnet	LAD23CD/E09000003
Barnfield	WD21CD/E05002193
Barnfield	WD21CD/E05005207
Barnham	WD21CD/E05009804
Barnhill	WD21CD/E05000086
Barnhill	WD21CD/E05000324
Barningham	WD21CD/E05012765
Barnoldswick	WD21CD/E05013200
Barnsbury	WD21CD/E05000366
Barnsley	LAD23CD/E08000016
Barnsley Central	PCON17CD/E14000541
Barnsley East	PCON17CD/E14000542
Barnstaple Central	WD21CD/E05012412
Barnstaple with Pilton	WD21CD/E05012413
Barnstaple with Westacott	WD21CD/E05012414
Great Dunmow South & Barnston	WD21CD/E05009918
Barnt Green & Hopwood	WD21CD/E05009827
Barnwood	WD21CD/E05010952
Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas	WD21CD/S13002600
Barrhead, Liboside and Uplawmoor	WD21CD/S13002914
Barrington	WD21CD/E05011284
Wiswell & Barrow	WD21CD/E05012025
Barrow	WD21CD/E05012766
Barrow and Furness	PCON17CD/E14000543
Barrow and Sileby West	WD21CD/E05005427
Barrow Hill and New Whittington	WD21CD/E05003323
Barrow Island	WD21CD/E05003145
Barrowford & Pendleside	WD21CD/E05013201
Bartley Green	WD21CD/E05011123
Barton	WD21CD/E05001732
Barton	WD21CD/E05004581
Barton	WD21CD/E05012990
Barton & Winton	WD21CD/E05013018
Barton & Sandhills	WD21CD/E05013096
Pan & Barton	WD21CD/E05013383
Barton and Tredworth	WD21CD/E05010953
Barton with Watcombe	WD21CD/E05012254
Barton-le-Clay	WD21CD/E05008781
Baruc	WD21CD/W05000632
Barwell	WD21CD/E05005481
Basford	WD21CD/E05012271
Waddington, Bashall Eaves & Mitton	WD21CD/E05012020
Bashley	WD21CD/E05004582
Basildon	LAD23CD/E07000066
Basildon	WD21CD/E05012133
Basildon and Billericay	PCON17CD/E14000544
Basing & Upton Grey	WD21CD/E05013078
Basingstoke	PCON17CD/E14000545
Basingstoke and Deane	LAD23CD/E07000084
Bassenhally	WD21CD/E05009491
Bassetlaw	LAD23CD/E07000171
Bassetlaw	PCON17CD/E14000546
Bassett	WD21CD/E05002456
Bassingbourn	WD21CD/E05011285
Bassingham and Brant Broughton	WD21CD/E05005619
Bassishaw	WD21CD/E05009290
Bastwell & Daisyfield	WD21CD/E05011509
Baswich	WD21CD/E05010480
Batchley & Brockhill	WD21CD/E05007870
Batchwood	WD21CD/E05004786
Bath	PCON17CD/E14000547
Bath and North East Somerset	LAD23CD/E06000022
Bathavon North	WD21CD/E05012461
Bathavon South	WD21CD/E05012462
Bathgate	WD21CD/S13002827
Bathwick	WD21CD/E05012463
Batley and Spen	PCON17CD/E14000548
Batley East	WD21CD/E05001390
Batley West	WD21CD/E05001391
Battenhall	WD21CD/E05007881
Battersea	PCON17CD/E14000549
Battins	WD21CD/E05004567
Battisford & Ringshall	WD21CD/E05012590
Battle	WD21CD/E05002320
Battle Hill	WD21CD/E05001115
Battledown	WD21CD/E05004289
Battlefield	WD21CD/E05008140
Ellistown & Battleflat	WD21CD/E05010107
Tadley North, Kingsclere & Baughurst	WD21CD/E05013093
Rossington & Bawtry	WD21CD/E05010742
Baxenden	WD21CD/E05005208
Baylis and Stoke	WD21CD/E05009337
Bayston Hill, Column and Sutton	WD21CD/E05008141
Bayswater	WD21CD/E05000631
Beach	WD21CD/E05009805
Beacon	WD21CD/E05011553
Beacon	WD21CD/E05012682
Four Lanes, Beacon & Troon	WD21CD/E05013289
Beacon and Bents	WD21CD/E05001135
Beacon Road	WD21CD/E05005081
Beaconsfield	PCON17CD/E14000550
Beaconsfield	WD21CD/E05013129
Beaminster	WD21CD/E05012683
Bean & Village Park	WD21CD/E05012392
Billinge & Beardwood	WD21CD/E05011510
Beare Green	WD21CD/E05007311
Bearsden North	WD21CD/S13002902
Bearsden South	WD21CD/S13002903
Bearsted	WD21CD/E05004984
Bearwood & Merley	WD21CD/E05012650
Beauchief and Greenhill	WD21CD/E05010857
Beaufort	WD21CD/W05000937
Thorpe, Beaumont & Great Holland	WD21CD/E05011960
Beaumont Leys	WD21CD/E05010460
Beaver	WD21CD/E05011744
Bebington	WD21CD/E05000954
Beccles & Worlingham	WD21CD/E05012735
Beck Vale, Dickleburgh & Scole	WD21CD/E05011866
Beckenham	PCON17CD/E14000551
Beckermet	WD21CD/E05012549
Braintree Central & Beckers Green	WD21CD/E05010368
Park End & Beckfield	WD21CD/E05009870
Beckingham	WD21CD/E05006377
Beckington and Selwood	WD21CD/E05006762
Beckton	WD21CD/E05000475
Becontree	WD21CD/E05000028
